timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 07:53:49,task1,/,1.0,6.0,2.0,3072.0,3072.0,0.0,nan,nan,nan,nan,0.0,0.0
2026-02-26 07:55:49,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.95,745.89,974.59,994.92,676.6,2.95,1.38
2026-02-26 07:57:50,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.91,750.0,975.0,995.0,700.42,2.91,1.4
2026-02-26 07:59:50,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.94,750.0,975.0,995.0,693.67,2.94,1.36
2026-02-26 08:01:50,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.92,750.0,975.0,995.0,702.93,2.92,1.39
2026-02-26 08:03:50,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.94,750.0,975.0,995.0,693.85,2.94,1.47
2026-02-26 08:05:51,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.91,750.0,975.0,995.0,702.45,2.91,1.39
2026-02-26 08:07:51,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.93,750.0,975.0,995.0,699.81,2.93,1.42
2026-02-26 08:09:51,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.91,750.0,975.0,995.0,706.98,2.91,1.3
2026-02-26 08:11:51,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.92,750.0,975.0,995.0,699.54,2.92,1.27
2026-02-26 08:13:52,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.93,750.0,975.0,995.0,698.99,2.93,1.35
2026-02-26 08:15:52,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.93,750.0,975.0,995.0,701.3,2.93,1.38
2026-02-26 08:17:52,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.93,750.0,975.0,995.0,697.61,2.93,1.27
2026-02-26 08:19:53,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.91,750.0,975.0,995.0,696.14,2.91,1.37
2026-02-26 08:21:53,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.94,750.0,975.0,995.0,689.72,2.94,1.38
2026-02-26 08:23:53,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.93,750.0,975.0,995.0,700.94,2.93,1.47
2026-02-26 08:25:54,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.91,750.0,975.0,995.0,688.19,2.91,1.33
2026-02-26 08:27:54,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.92,750.0,975.0,995.0,717.25,2.92,1.24
2026-02-26 08:29:54,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.93,750.0,975.0,995.0,696.75,2.93,1.49
2026-02-26 08:31:55,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.94,750.0,975.0,995.0,692.54,2.94,1.46
